area,state,a_median,a_pct10,a_pct25,a_pct75,a_pct90
Greenville-Anderson-Mauldin,SC,50221.27789046653,34501.162324649296,41875.08032128514,62728.18737270876,76136.44032921811
Guayama,PR,29406.98795180723,21311.0843373494,25034.4578313253,36886.26506024096,46821.56626506024
Gulfport-Biloxi-Pascagoula,MS,49571.65829145729,33292.45,40376.290726817046,60312.90404040404,73467.9493670886
Hagerstown-Martinsburg,MD,52112.443181818184,36134.5197740113,42697.98866855524,63715.7183908046,76955.97101449275
Hammond,LA,43500.882352941175,29378.731707317074,34767.5,54369.75490196078,66706.0294117647
Hanford-Corcoran,CA,56478.77551020408,39564.56852791878,47119.64467005076,68604.8717948718,80976.45833333333
Harrisburg-Carlisle,PA,56940.94650205761,38217.26899383983,46183.511293634496,70021.9175257732,82986.3179916318
Harrisonburg,VA,47782.04379562044,34548.08664259928,40930.289855072464,59581.67883211679,71531.58671586716
Hartford-West Hartford-East Hartford,CT,65712.63440860216,45267.46031746032,53904.46619217082,79629.44043321299,91095.40642722117
Hattiesburg,MS,41228.305785123965,28875.591836734693,34231.55737704918,52496.94214876033,66704.6887966805
Hickory-Lenoir-Morganton,NC,47173.3692722372,33560.82666666667,40248.08,57141.327913279136,68316.42076502732
Hilton Head Island-Bluffton-Beaufort,SC,47244.154411764706,31965.824175824175,37829.55882352941,58989.0036900369,71843.78277153558
Hinesville,GA,50274.53846153846,34130.076335877864,42133.0534351145,61297.13178294573,71401.49606299213
Homosassa Springs,FL,42400.80924855491,28661.73410404624,34298.20809248555,53541.686046511626,66941.22807017544
Hot Springs,AR,42176.17224880383,30358.14285714286,35208.333333333336,52473.49282296651,62323.90243902439
Houma-Thibodaux,LA,49560.2027027027,32290.97972972973,38932.06081081081,60294.64163822526,72632.6551724138
Houston-The Woodlands-Sugar Land,TX,59329.05172413793,37685.444287729195,47235.28328611898,72453.14787701318,84909.45371775418
Huntington-Ashland,WV,47728.12339331619,32110.35714285714,38787.95396419437,59142.91989664083,71791.94805194806
Huntsville,AL,55822.24256292906,36919.45330296127,44787.33485193622,69207.16589861752,81847.24705882353
Idaho Falls,ID,51296.180555555555,33510.72664359862,41510.1384083045,65625.79861111111,78109.4306049822
Indianapolis-Carmel-Anderson,IN,54291.653666146645,37861.134969325154,44786.12055641422,67530.984375,79601.5088282504
Iowa City,IA,54900.40372670807,37808.978328173376,45278.544891640864,66501.72955974843,79927.84126984127
Ithaca,NY,62134.835680751174,42885.25821596244,50566.47887323944,75841.94312796209,87131.24378109453
Jackson,MI,53135.737704918036,35628.28571428572,43201.38775510204,64841.88524590164,76222.38493723849
Jackson,MS,46545.02173913043,30820.54229934924,37233.4273318872,57958.55895196507,70465.58498896247
Jackson,TN,45561.02040816326,31932.635135135137,38204.52702702703,55899.38566552901,68001.78694158075
Jacksonville,FL,51568.92733564014,35018.47341337908,42400.962199312715,64113.6,78048.0350877193
Jacksonville,NC,46547.98245614035,32282.052401746725,38532.22707423581,56515.63876651983,68450.17699115044
Janesville-Beloit,WI,54299.471830985916,37254.471830985916,44046.93661971831,65434.75177304965,76853.1899641577
Jefferson City,MO,48119.00332225914,33328.90728476821,39380.562913907284,59002.03333333333,72825.7525083612
Johnson City,TN,46212.54966887417,30907.6897689769,37417.557755775575,57201.993355481725,69836.35451505017
Johnstown,PA,47224.27385892116,32645.826446280993,38907.80991735537,57874.166666666664,69323.92405063291
Jonesboro,AR,44681.953125,31657.782101167315,37392.10116731517,54521.10236220472,64821.8
Joplin,MO,46989.20577617329,31809.530685920578,37846.06498194946,58473.55072463768,69461.91176470589
Kahului-Wailuku-Lahaina,HI,58036.224066390045,39474.09090909091,47686.94214876033,71810.75,85638.86554621848
Kalamazoo-Portage,MI,54365.12886597938,36580.154639175256,43448.0412371134,66321.62303664921,78205.86666666667
Kankakee,IL,51285.454545454544,34040.382775119615,40586.55502392344,63603.75,76484.3842364532
Kansas City,MO,56631.419847328245,37343.071104387294,45375.631659056315,69169.92283950618,82341.08150470219
Kennewick-Richland,WA,62179.33147632312,43941.85595567867,51633.65650969529,75566.56424581006,86682.41379310345
Killeen-Temple,TX,50478.81578947369,34130.05249343832,41113.464566929135,62682.23684210526,74182.80748663102
Kingsport-Bristol-Bristol,TN,47244.66487935657,32057.57978723404,39071.70212765958,57665.10810810811,70640.84010840108
Kingston,NY,55641.535580524345,38620.33707865168,45953.8202247191,68092.2641509434,82853.63984674329
Knoxville,TN,51537.3594548552,34619.32318104907,41706.85908319185,63029.5008605852,76348.69337979094
Kokomo,IN,49181.85393258427,32848.31460674157,39886.23595505618,59962.42937853107,73227.40112994351
La Crosse-Onalaska,WI,53004.25249169435,36329.76821192053,42970.99667774086,64087.09030100334,75343.55932203389
Lafayette,LA,45815.48302872063,30248.28125,37049.114583333336,56936.77165354331,70552.175066313
Lafayette-West Lafayette,IN,53075.80745341615,36175.01547987616,42915.71428571428,65326.52173913043,77245.59748427673
Lake Charles,LA,50323.807947019865,33262.17821782178,40436.46864686468,62472.0,77506.52173913043
Lake Havasu City-Kingman,AZ,46464.02489626556,33596.26556016597,38743.19502074689,56712.69709543569,69339.375
Lakeland-Winter Haven,FL,49353.467561521255,33635.64159292035,40286.815144766144,60092.73137697517,72899.36218678816
Lancaster,PA,52906.40176600441,35845.26315789474,43579.649122807015,65544.74501108647,78620.58426966293
Lansing-East Lansing,MI,56591.74603174603,38971.19638826185,46222.573363431155,69428.1506849315,81444.1958041958
Laredo,TX,44372.63157894737,29036.1797752809,35861.011235955055,55351.54135338346,67269.24528301887
Las Cruces,NM,49703.092783505155,34516.33561643836,41116.81506849315,60692.006920415224,73195.95818815331
Las Vegas-Henderson-Paradise,NV,54954.82638888889,37367.362068965514,45188.20379965458,68365.84642233857,82301.34275618375
Lawrence,KS,49451.73728813559,33121.86440677966,39580.84745762712,59614.444444444445,71052.78260869565
Lawton,OK,45456.26556016597,30058.595041322315,36810.330578512396,56000.543933054396,68028.02521008403
Lebanon,PA,50903.434782608696,35257.878787878784,41528.30434782609,60864.86842105263,73507.26872246696
Leominster-Gardner,MA,57623.168724279836,40470.36734693877,48247.34693877551,70765.53719008264,84968.94957983193
Lewiston,ID,51172.989130434784,35979.086021505376,42102.282608695656,62274.043715846994,76083.18681318681
Lewiston-Auburn,ME,51422.62357414448,38343.106060606064,43289.58174904943,61470.87786259542,72457.92307692308
Lexington-Fayette,KY,52176.41393442623,35866.68016194332,42669.24643584521,63963.34020618557,76953.44467640918
Lima,OH,50305.0,34503.22709163347,41297.92,61332.88617886179,75154.8163265306
Lincoln,NE,52576.84665226782,37513.30472103004,44238.81974248927,64126.04347826087,76920.52747252748
Little Rock-North Little Rock-Conway,AR,50382.77559055118,34768.21568627451,40606.515748031496,60976.566866267465,72434.79838709677
Logan,UT,45874.29090909091,29413.537906137186,37163.93501805054,58587.56363636364,72380.47970479705
Longview,TX,48776.838905775076,32582.303030303032,39534.15151515151,60576.43292682927,72686.37770897833
Longview,WA,59030.64220183486,42336.605504587154,49162.01834862385,70026.17511520737,81951.3488372093
Los Angeles-Long Beach-Anaheim,CA,67825.51912568306,44965.328859060406,55018.87248322148,83155.74616457462,93694.82861400895
Louisville/Jefferson County,KY,52708.78006872852,36430.74198988196,44066.11205432937,65518.57142857143,78551.9652173913
Lubbock,TX,47232.68844221105,31567.96992481203,38766.99248120301,59055.516372795966,71336.87022900763
Lynchburg,VA,50135.857142857145,33553.903133903135,40529.03133903134,62057.64367816092,74009.97084548105
Macon,GA,46908.04560260586,32055.339805825242,38271.94805194805,57686.19672131148,70590.43046357617
Madera,CA,57118.055555555555,38496.805555555555,45984.02777777778,68391.64319248826,80340.67307692308
Madison,WI,58094.469273743016,41053.89705882353,48264.248608534326,70940.35447761194,83168.56870229008
Manchester,NH,58221.444141689375,40358.7027027027,47370.16348773842,71743.39726027397,81669.34472934472
Manhattan,KS,48163.67441860465,31402.372093023256,38191.023255813954,59309.24882629108,72185.66666666667
Mankato-North Mankato,MN,56320.9594095941,39379.52205882353,46655.58823529412,67173.69402985074,79226.7924528302
Mansfield,OH,49103.17796610169,32742.627118644068,39588.09322033898,59485.64102564102,72707.93991416309
Mayaguez,PR,26878.13664596273,18981.92546583851,22151.987577639753,34704.16149068323,45360.18633540373
McAllen-Edinburg-Mission,TX,45121.0,29637.5,36590.81018518518,55466.697892271666,67372.25118483412
Medford,OR,53523.86167146974,38841.8,44683.467048710605,65552.30547550433,78904.0988372093
Memphis,TN,51882.77960526316,34512.85481239804,41691.08196721312,63120.23294509151,74392.44482173175
Merced,CA,56507.4358974359,39238.029197080294,46199.562043795624,68521.25925925926,83979.55223880598
Miami-Fort Lauderdale-West Palm Beach,FL,53879.14985590778,35695.326704545456,43664.04285714286,68182.36231884058,82596.47407407407
Michigan City-La Porte,IN,45379.13461538462,31526.65071770335,37352.067307692305,56156.20192307692,68581.49758454107
Midland,MI,58962.47311827957,38450.26737967914,46685.5376344086,71337.9781420765,79737.18390804598
Midland,TX,59695.268138801264,39708.33855799373,48013.301886792455,74060.31847133758,84592.84280936455
Milwaukee-Waukesha-West Allis,WI,57096.62828947369,39741.12012987013,46820.14705882353,70502.73476112026,81383.90202702703
Minneapolis-St. Paul-Bloomington,MN,62677.45738636364,44452.33983286908,51602.792665726374,75927.76183644189,87214.92581602374
Missoula,MT,47856.5306122449,33618.16949152543,39690.50847457627,58276.109215017066,69822.8275862069
Mobile,AL,51545.38461538462,35402.97709923664,42541.24681933842,62799.533678756474,74629.63254593176
Modesto,CA,57688.619854721546,40651.510791366905,47634.591346153844,70757.0243902439,85254.30693069307
Monroe,LA,44024.0977443609,29781.722846441946,36233.333333333336,55290.48872180451,67245.50943396226
Monroe,MI,54260.769230769234,36884.375,44265.96153846154,67368.22115384616,79118.25242718446
Montgomery,AL,49621.06699751861,32764.50738916256,39994.345679012345,60718.475,74315.775
Morgantown,WV,51339.48148148148,33874.31734317343,41637.52767527675,63951.119402985074,77428.74524714828
Morristown,TN,43280.09090909091,29079.272727272728,34941.545454545456,52823.5,63711.3698630137
Mount Vernon-Anacortes,WA,59198.03921568627,43435.953307393,49691.882352941175,71476.7843137255,83224.32
Muncie,IN,46024.14746543779,31934.26605504587,37706.35944700461,57955.253456221195,68659.20560747663
Muskegon,MI,51138.700787401576,35696.42023346303,42861.01167315175,61611.30952380953,73557.92828685259
Myrtle Beach-Conway-North Myrtle Beach,SC,45835.977653631286,31015.36111111111,37144.23398328691,56591.51685393258,69274.06779661016
Napa,CA,64964.891304347824,45152.36559139785,53902.114695340504,79235.09090909091,89239.53846153847
Naples-Immokalee-Marco Island,FL,53908.59459459459,36051.72506738544,43485.84905660377,66189.91780821918,79687.91549295775
Nashville-Davidson--Murfreesboro--Franklin,TN,53129.797507788164,35824.50617283951,42811.2693498452,64912.712933753945,77747.18446601942
New Bedford,MA,59720.57692307692,40745.653846153844,48196.769230769234,72509.2607003891,86696.29921259843
New Bern,NC,48175.560165975105,33676.049382716046,40987.16049382716,58575.208333333336,69067.93248945147
New Haven,CT,62472.238493723846,42760.805785123965,51247.128099173555,77849.68619246862,90957.1551724138
New Orleans-Metairie,LA,52524.10619469026,34871.816578483245,41780.654867256635,65930.35587188612,79556.24772313297
New York-Newark-Jersey City,NY,70973.19948186529,46793.78787878788,57053.02414231258,86405.87131367292,101181.58995815899
Niles-Benton Harbor,MI,50672.277992277996,34758.88461538462,41368.153846153844,62427.5486381323,76035.59523809524
North Port-Sarasota-Bradenton,FL,51310.934782608696,35448.86021505376,42331.9222462203,62793.47252747253,76201.16591928252
Norwich-New London-Westerly,CT,61425.115606936415,41850.37356321839,50541.9540229885,74752.75659824046,89087.92792792793
Ocala,FL,45289.65625,31742.314814814814,38293.808049535604,56291.477987421385,69030.28662420381
Ocean City,NJ,52208.85572139303,36717.87128712871,43711.53465346534,64376.36815920398,75543.95939086295
Odessa,TX,53131.031746031746,35636.28458498024,43536.403162055336,67601.90476190476,78381.86721991701
Ogden-Clearfield,UT,51608.15734989648,34927.07818930041,41942.78350515464,64275.08368200837,78240.46218487395
Oklahoma City,OK,51278.159203980096,33939.801652892565,41222.66115702479,64530.566666666666,76841.03389830509
Olympia-Tumwater,WA,65015.45197740113,46918.05633802817,54369.91549295775,76962.8125,87696.7536231884
Omaha-Council Bluffs,NE,54906.265270506105,38921.72649572649,45797.88296041308,66778.78734622145,79627.87234042553
Orlando-Kissimmee-Sanford,FL,52254.952229299364,34848.454258675076,43027.192429022085,65303.14606741573,79259.47882736157
Oshkosh-Neenah,WI,53599.81072555205,38050.96875,44508.80877742947,65054.96835443038,76130.12861736334
Owensboro,KY,48644.81481481482,32959.91803278688,39652.633744855964,59793.51239669421,72303.20833333333
Oxnard-Thousand Oaks-Ventura,CA,63068.4765625,42186.854368932036,50726.92607003891,77219.58579881657,90081.3469387755
Palm Bay-Melbourne-Titusville,FL,52651.142857142855,35826.048034934494,42704.36403508772,65573.51769911505,80463.82222222222
Panama City,FL,50501.74342105263,33843.2131147541,41371.27868852459,62834.750830564786,76914.9494949495
Parkersburg-Vienna,WV,44986.444444444445,31775.494505494506,37157.62430939227,55018.82681564246,66010.11235955056
Pensacola-Ferry Pass-Brent,FL,49633.21256038648,34043.35731414868,40986.21103117506,61201.824817518245,74878.75
Peoria,IL,54185.63968668407,35953.73056994819,43751.9689119171,67698.72062663185,79994.1755319149
Philadelphia-Camden-Wilmington,PA,61278.41891891892,41705.48941798942,50116.511318242345,76485.0068027211,89126.30465444288
Phoenix-Mesa-Scottsdale,AZ,56312.650073206445,40698.54046242774,47003.10043668122,68546.0650887574,81220.81570996979
Pine Bluff,AR,42522.03703703704,30385.432098765432,35261.97530864197,54292.28395061728,65278.125
Pittsburgh,PA,56798.7306501548,37785.41411042945,45965.253456221195,71037.24727838258,83708.36248012718
Pittsfield,MA,58116.35071090047,40142.5,47379.29245283019,70674.16267942583,84654.80582524271
Pocatello,ID,45236.910994764396,30616.062176165804,37045.12953367876,56755.02617801047,69822.15789473684
Ponce,PR,28377.754237288136,20759.15611814346,24398.143459915613,36280.720338983054,46203.00847457627
Port St. Lucie,FL,49471.68865435356,33034.75065616798,40168.241469816276,61567.12765957447,75110.05361930295
Portland-South Portland,ME,57144.709677419356,41755.310492505356,48204.88222698073,67860.73752711496,79557.9203539823
Portland-Vancouver-Hillsboro,OR,64372.41630276565,45808.75714285715,52749.10274963821,78245.0294117647,91960.75414781297
Portsmouth,NH,61736.87315634218,42078.709677419356,51115.60117302053,73949.88095238095,83840.12422360248
Prescott,AZ,50055.61403508772,36328.81118881119,41804.87719298246,61234.295774647886,72869.35483870968
Providence-Warwick,RI,62050.28419182949,44111.42608695652,52261.68126094571,76101.28801431127,86709.45488721805
Provo-Orem,UT,49894.32671081678,33315.76754385965,40429.846153846156,62603.81374722838,76212.02247191011
Pueblo,CO,52853.59848484849,37121.99248120301,44082.55639097744,63461.02661596958,75939.45736434108
Punta Gorda,FL,47995.82959641256,31823.022222222222,39721.46666666667,58984.29864253393,73003.16513761468
Racine,WI,53744.36170212766,36973.250883392226,44470.212014134275,65723.95017793594,78304.53237410072
Raleigh,NC,56508.52049910874,39117.1554770318,46846.79646017699,69196.17594254937,81623.12384473198
Rapid City,SD,50367.73462783171,38434.455128205125,43291.18971061093,59486.2987012987,68590.0
Reading,PA,54739.197994987466,36945.536159601,44395.23690773067,66590.43037974683,79486.2915601023
Redding,CA,56683.202614379086,39590.0325732899,46280.45602605863,69263.19078947368,83949.53642384105
Reno,NV,54251.649899396376,36371.3453815261,44239.93975903615,67205.46370967742,80794.26229508196
Richmond,VA,55653.46349745331,38075.671140939594,45632.60942760943,68759.48805460751,81176.24561403508
Riverside-San Bernardino-Ontario,CA,61616.33383010432,42280.384047267355,50451.6,76085.03012048193,87759.46540880503
Roanoke,VA,50951.53086419753,34211.22549019608,41690.66176470588,62570.59701492537,75174.15189873418
Rochester,MN,58135.917721518985,42085.76802507837,48459.93690851735,69604.04458598726,80853.52564102564
Rochester,NY,58691.33802816901,39693.8062283737,48022.28373702422,71482.875,82828.16822429906
Rockford,IL,53626.946778711485,35787.166666666664,43236.90807799443,65967.45762711864,78461.49425287357
Rocky Mount,NC,47621.46718146718,32463.899613899615,38980.42471042471,58500.65891472868,68766.48221343874
Rome,GA,46338.483412322275,30634.19811320755,37618.91509433962,57760.619047619046,70133.46153846153
Sacramento--Roseville--Arden-Arcade,CA,68425.68778979908,45305.96625766871,54637.846153846156,83733.44287949921,94883.85761589404
Saginaw,MI,50806.401384083045,35398.35051546392,41608.54671280277,61896.73611111111,73741.08391608391
Salem,OR,58022.16091954023,40936.22425629291,48801.762013729975,69849.584295612,82132.12962962964
Salinas,CA,62950.425531914894,43078.13157894737,51339.36675461741,78266.55080213904,92506.52054794521
Salisbury,MD,53429.75113122172,36251.264108352145,43337.4886877828,64299.977064220184,78022.5635103926
Salt Lake City,UT,56206.851265822785,37057.095761381475,45017.66561514196,69546.32587859425,83947.308319739
San Angelo,TX,43794.13223140496,30071.15702479339,35829.87603305785,54820.0826446281,67433.40248962656
San Antonio-New Braunfels,TX,54320.59011164274,36640.55031446541,45027.38582677166,66067.45571658615,79734.57050243112
San Diego-Carlsbad,CA,65648.67867867868,44332.444444444445,53328.541666666664,81321.93009118541,94474.15213946118
San Francisco-Oakland-Hayward,CA,77660.92989985694,50904.63172804532,62271.51988636364,92828.67256637168,103839.48717948717
San German,PR,24157.747747747748,18288.37837837838,20508.91891891892,29356.036036036036,38410.18018018018
San Jose-Sunnyvale-Santa Clara,CA,78572.12765957447,52214.46956521739,63770.75043630017,93016.7830882353,104842.60355029585
San Juan-Carolina-Caguas,PR,33573.90740740741,22491.75925925926,26772.64814814815,42954.71243042671,54036.4498141264
San Luis Obispo-Paso Robles-Arroyo Grande,CA,61588.12849162011,42652.03856749311,50714.86187845304,76289.88764044944,90717.52873563218
Santa Cruz-Watsonville,CA,64517.18934911243,43144.34017595308,51769.76470588235,78976.21621621621,93269.74921630094
Santa Fe,NM,51384.03100775194,37094.82625482626,43468.687258687256,62057.65625,76120.75098814229
Santa Maria-Santa Barbara,CA,63878.988764044945,43142.64444444444,52004.70982142857,79357.86036036036,92358.7587822014
Santa Rosa,CA,65300.78828828829,44662.88590604027,52654.22471910113,80536.61363636363,94222.12264150943
Savannah,GA,51712.24586288416,33532.35294117647,41549.6,64847.220902612826,78838.6265060241
Scranton--Wilkes-Barre--Hazleton,PA,52814.89406779661,35665.95387840671,42942.731092436974,65036.217948717946,78972.86637931035
Seattle-Tacoma-Bellevue,WA,70337.06056129985,50292.67727930535,58811.37426900585,84571.35338345864,98035.81538461539
Sebastian-Vero Beach,FL,47133.666666666664,32088.215767634854,38637.96680497925,58923.6974789916,71432.59574468085
Sebring,FL,40211.77215189873,27703.607594936708,33031.20253164557,49637.770700636946,61671.08974358974
Sheboygan,WI,53650.78125,37207.364341085275,44314.7859922179,65298.78431372549,76551.83266932271
Sherman-Denison,TX,47908.9406779661,32252.542372881355,38722.28813559322,58987.79661016949,71589.70085470086
Shreveport-Bossier City,LA,47125.16042780749,31368.96,38616.293333333335,57641.397849462366,70669.56756756757
Sierra Vista-Douglas,AZ,51482.22772277228,36539.60396039604,42715.0495049505,62615.0495049505,76500.64676616916
Sioux City,IA,51309.84662576687,35853.88379204893,42829.14373088685,61162.07430340557,72086.2893081761
Sioux Falls,SD,51347.71929824561,38489.925,43883.85,60489.19191919192,69890.35623409669
South Bend-Mishawaka,IN,50327.677261613695,34049.95133819951,41218.175182481755,61530.90909090909,73601.42144638405
Spartanburg,SC,50686.44117647059,33774.868035190615,41477.947214076245,61380.6528189911,75116.96428571429
Spokane-Spokane Valley,WA,58466.27329192546,42086.96098562628,49032.798353909464,71313.66666666667,81997.94055201698
Springfield,IL,55197.55882352941,38407.80979827089,44668.09941520468,67114.58579881657,81481.50150150151
Springfield,MA,61829.45205479452,42619.63249516441,50555.21317829457,75821.16141732283,90185.57114228456
Springfield,MO,48076.32603406326,34664.96402877698,40393.56626506024,60474.12195121951,73876.0294117647
Springfield,OH,49440.132158590306,33376.87224669603,39999.867841409694,61311.06194690266,73588.83408071748
